City_ID,City Name,Country,City ID,Latitude,Longitude,Max Temperature,Humidity,Cloudiness (%),Wind Speed
0,Bluff,NZ,2206939,-46.6,168.33,43.0,86,72,4.0
1,Talnakh,RU,1490256,69.49,88.4,60.8,72,2,15.66
2,Severo-Kuril'sk,RU,2121385,50.68,156.12,53.31,76,98,8.23
3,Saskylakh,RU,2017155,71.92,114.08,43.3,71,90,4.12
4,East London,ZA,1006984,-33.02,27.91,62.92,30,0,4.85
5,Vila Franca do Campo,PT,3372472,37.72,-25.43,71.6,83,20,4.7
6,Kamenka,RU,553766,51.32,42.77,54.0,80,100,8.99
7,New Norfolk,AU,2155415,-42.78,147.06,51.01,92,83,0.76
8,Byron Bay,AU,2172880,-28.65,153.62,63.0,93,93,13.65
9,Samarai,PG,2132606,-10.62,150.67,78.19,73,100,11.45
10,Pangnirtung,CA,6096551,66.15,-65.71,51.8,71,40,13.87
11,Carazinho,BR,3466978,-28.28,-52.79,60.13,99,100,5.82
12,Aklavik,CA,5882953,68.22,-135.01,53.6,87,90,4.7
13,Mataura,NZ,6201424,-46.19,168.86,43.0,86,1,4.0
14,Ṭikāpur,NP,1282666,28.5,81.13,78.17,91,99,8.55
15,Sungai Penuh,ID,1625929,-2.08,101.38,65.46,82,100,3.04
16,Caraúbas,BR,3402944,-5.79,-37.56,75.94,67,15,5.77
17,Bethel,US,5282297,41.37,-73.41,80.6,54,20,8.05
18,Saint George,US,5546220,37.1,-113.58,105.01,12,1,13.87
19,Broken Hill,AU,2173911,-31.95,141.43,51.8,81,40,9.17
20,Atuona,PF,4020109,-9.8,-139.03,77.45,74,70,15.88
21,Hong Kong,HK,1819729,22.29,114.16,84.99,74,0,3.0
22,Zhigansk,RU,2012530,66.77,123.37,44.08,73,56,19.89
23,Kavaratti,IN,1267390,10.57,72.64,82.33,77,100,19.73
24,Aykhal,RU,2027296,66.0,111.5,44.6,70,75,4.07
25,La Palma,US,5364022,33.85,-118.05,100.4,22,1,6.93
26,Hilo,US,5855927,19.73,-155.09,87.8,55,1,9.17
27,Vila Velha,BR,3445026,-20.33,-40.29,77.0,78,0,8.05
28,Plaeng Yao,TH,1607398,13.58,101.28,86.0,89,100,3.71
29,Vostok,RU,2013279,46.49,135.88,58.66,100,67,3.69
30,Honiara,SB,2108502,-9.43,159.95,80.6,88,75,1.97
31,Mossamedes,AO,3347019,-15.2,12.15,60.58,91,43,7.85
32,Hermanus,ZA,3366880,-34.42,19.23,55.0,84,42,11.01
33,Naze,JP,1855540,28.37,129.48,86.0,79,20,4.7
34,Mayor Pablo Lagerenza,PY,3867427,-19.93,-60.77,88.93,31,0,8.16
35,Tasiilaq,GL,3424607,65.61,-37.64,46.4,52,0,1.12
36,Hithadhoo,MV,1282256,-0.6,73.08,82.04,75,89,8.63
37,San Quintín,MX,3984997,30.48,-115.95,80.64,49,11,16.64
38,Tutóia,BR,3385899,-2.76,-42.27,78.71,79,70,11.97
39,Albany,US,5106841,42.6,-73.97,82.0,60,78,7.45
40,Nikolskoye,RU,546105,59.7,30.79,60.8,72,40,4.47
41,Zhanakorgan,KZ,1517323,43.91,67.25,72.5,27,0,5.91
42,Fairbanks,US,5861897,64.84,-147.72,71.6,43,75,8.05
43,Geraldton,AU,2070998,-28.77,114.6,50.0,76,0,8.05
44,Jamestown,US,5122534,42.1,-79.24,79.0,54,1,8.05
45,Yar-Sale,RU,1486321,66.83,70.83,45.59,79,30,8.23
46,Hobart,AU,2163355,-42.88,147.33,51.01,93,75,5.82
47,Atar,MR,2381334,20.52,-13.05,93.27,41,43,6.93
48,Qaanaaq,GL,3831208,77.48,-69.36,39.18,78,100,6.62
49,Baykit,RU,1510689,61.67,96.37,51.1,66,1,4.27
50,Saint-Philippe,RE,935215,-21.36,55.77,66.2,72,75,5.82
51,Aleksandrov Gay,RU,583345,50.15,48.57,58.48,69,2,10.69
52,Yantal',RU,2055868,56.85,105.25,48.87,65,0,4.59
53,Lompoc,US,5367788,34.64,-120.46,98.6,30,1,6.93
54,Lüderitz,NA,3355672,-26.65,15.16,56.91,73,0,18.1
55,Cabo San Lucas,MX,3985710,22.89,-109.91,87.01,66,40,16.11
56,Sabang,ID,1214026,5.89,95.32,81.79,78,63,8.43
57,Butaritari,KI,2110227,3.07,172.79,82.22,79,67,12.03
58,Diamantino,BR,3464724,-14.41,-56.45,83.89,26,0,4.09
59,Tefé,BR,3661944,-3.35,-64.71,86.0,66,20,2.24
60,Ostrovnoy,RU,556268,68.05,39.51,51.73,90,100,14.03
61,Souillac,MU,933995,-20.52,57.52,69.8,73,40,4.7
62,Ternate,ID,1624041,0.8,127.4,80.17,80,79,7.07
63,Hervey Bay,AU,2146219,-25.3,152.85,69.01,86,42,4.0
64,Krasnoarmiys'k,UA,704422,48.28,37.18,52.61,87,6,6.73
65,Thunder Bay,CA,6166142,48.4,-89.32,77.0,73,90,12.75
66,Kavieng,PG,2094342,-2.57,150.8,83.88,68,100,3.2
67,Hamilton,US,4513583,39.18,-84.53,81.0,74,90,4.7
68,Port Alfred,ZA,964432,-33.59,26.89,55.26,73,0,6.51
69,Yellowknife,CA,6185377,62.46,-114.35,60.8,63,75,19.46
70,Peleduy,RU,2018069,59.63,112.74,47.37,68,0,11.45
71,Norman Wells,CA,6089245,65.28,-126.83,57.2,93,90,10.29
72,Władysławowo,PL,3081752,54.79,18.4,66.0,93,0,1.12
73,Cape Town,ZA,3369157,-33.93,18.42,61.0,71,75,14.99
74,Saint Paul Harbor,US,5866583,57.79,-152.41,69.8,40,1,11.41
75,Mar del Plata,AR,3430863,-38.0,-57.56,54.0,58,100,5.82
76,Bonavista,CA,5905393,48.65,-53.11,55.99,86,96,3.0
77,Kapaa,US,5848280,22.08,-159.32,84.99,66,20,12.75
78,Mattru,SL,2409215,7.62,-11.83,74.79,87,100,3.58
79,Kununurra,AU,2068110,-15.77,128.73,71.6,30,49,7.16
80,Rikitea,PF,4030556,-23.12,-134.97,70.77,75,48,11.79
81,Cherskiy,RU,2126199,68.75,161.3,45.41,74,97,16.02
82,Emerald,AU,2167426,-23.53,148.17,72.0,49,75,10.29
83,Chui,UY,3443061,-33.7,-53.46,52.59,92,76,6.04
84,Zarya,RU,7117880,55.76,38.1,54.0,93,1,6.71
85,Altay,CN,1529651,47.87,88.12,56.59,79,100,1.25
86,Fershampenuaz,RU,562878,53.52,59.81,52.61,96,54,4.7
87,Palauig,PH,1696188,15.44,119.9,82.45,71,60,2.33
88,Andros,GR,265040,37.83,24.93,80.01,49,0,8.99
89,Lisala,CD,211734,2.15,21.52,75.4,77,98,2.04
90,Puerto Ayora,EC,3652764,-0.74,-90.35,68.0,93,98,4.0
91,José de Freitas,BR,3397230,-4.76,-42.58,84.2,58,100,3.36
92,Aliaga,PH,1731529,15.52,120.87,78.53,88,76,0.69
93,Ushuaia,AR,3833367,-54.8,-68.3,35.6,92,40,11.41
94,Cabedelo,BR,3404558,-6.98,-34.83,73.4,94,20,5.82
95,Tautira,PF,4033557,-17.73,-149.15,82.4,74,75,9.17
96,Shizunai-furukawachō,JP,2128025,42.33,142.37,69.75,83,81,14.5
97,San Patricio,MX,3985168,19.22,-104.7,89.6,75,75,11.41
98,Bārmer,IN,1276901,25.75,71.38,84.36,74,100,13.87
99,Avarua,CK,4035715,-21.21,-159.78,77.0,94,22,12.75
100,Barrow,US,5880054,71.29,-156.79,51.8,76,75,12.75
101,Nome,US,5870133,64.5,-165.41,55.99,76,40,16.11
102,Dingle,PH,1714733,11.0,122.67,77.97,88,90,2.21
103,Shorap’ani,GE,611964,42.09,43.09,64.4,93,43,1.12
104,Taraz,KZ,1516905,42.9,71.37,62.6,42,18,8.95
105,Pochutla,MX,3517970,15.74,-96.47,90.0,55,20,9.17
106,Port Hardy,CA,6111862,50.7,-127.42,62.6,82,90,8.05
107,Rincon,US,4218882,32.3,-81.24,82.4,74,75,4.7
108,Punta Arenas,CL,3874787,-53.15,-70.92,32.0,90,90,4.7
109,Meadow Lake,US,5478673,34.8,-106.54,96.8,11,75,5.82
110,Oranjemund,NA,3354071,-28.55,16.43,53.44,91,0,4.43
111,Pacific Grove,US,5380437,36.62,-121.92,100.0,22,1,11.41
112,Faanui,PF,4034551,-16.48,-151.75,78.82,79,9,15.84
113,Thompson,CA,6165406,55.74,-97.86,71.6,43,90,11.41
114,Phayakkhaphum Phisai,TH,1607763,15.52,103.19,75.2,88,100,3.36
115,Northam,GB,2641434,51.03,-4.22,66.0,92,91,3.65
116,Te Anau,NZ,2181625,-45.42,167.72,41.7,73,36,1.07
117,Margate,GB,2643044,51.38,1.39,70.0,70,66,1.99
118,Kaitangata,NZ,2208248,-46.28,169.85,45.0,65,2,8.01
119,Haines Junction,CA,5969025,60.75,-137.51,58.95,57,100,2.42
120,Ancud,CL,3899695,-41.87,-73.82,41.0,93,75,9.17
121,George Town,MY,1735106,5.41,100.34,78.8,94,20,2.26
